t,V_a,V_b,m,h,n,I_Na,I_K,I_L,I_syn_b,g_syn
0,-65,-65,0.05293248526,0.5961207535,0.3176769141,-1.220057176,4.399733467,-3.1839,0,0
0.01,-64.89995776,-64.99995776,0.05295886752,0.5961166364,0.3176797275,-1.220810978,4.43657056,-3.153887329,0,0
0.02,-64.80057649,-64.9999158,0.05301037687,0.5961084169,0.3176853402,-1.223300757,4.473325565,-3.124072946,0,0
0.03,-64.701836,-64.99987412,0.0530858319,0.5960961089,0.3176937384,-1.227449929,4.510008925,-3.094450801,0,0
0.04,-64.60371709,-64.99983269,0.05318412024,0.5960797257,0.3177049088,-1.233190695,4.546630704,-3.065015126,0,0
0.05,-64.50620133,-64.99979152,0.05330419422,0.5960592798,0.3177188385,-1.240463116,4.583200626,-3.0357604,0,0
0.06,-64.40927111,-64.9997506,0.05344506683,0.5960347833,0.3177355148,-1.249214289,4.619728108,-3.006681332,0,0
0.07,-64.31290943,-64.99970992,0.0536058079,0.5960062473,0.3177549255,-1.259397636,4.656222293,-2.977772829,0,0
0.08,-64.21709995,-64.99966947,0.05378554066,0.5959736828,0.3177770587,-1.270972264,4.692692074,-2.949029985,0,0
0.09,-64.12182685,-64.99962925,0.05398343843,0.5959370999,0.3178019027,-1.283902409,4.72914612,-2.920448054,0,0
0.1,-64.0270748,-64.99958924,0.05419872163,0.5958965081,0.3178294464,-1.298156939,4.765592901,-2.892022441,0,0
0.11,-63.93282894,-64.99954946,0.05443065496,0.5958519166,0.3178596786,-1.313708919,4.802040705,-2.863748682,0,0
0.12,-63.83907477,-64.99950989,0.05467854475,0.5958033339,0.3178925889,-1.330535219,4.83849766,-2.835622431,0,0
0.13,-63.74579817,-64.99947052,0.05494173651,0.595750768,0.3179281667,-1.348616177,4.874971751,-2.807639451,0,0
0.14,-63.65298533,-64.99943135,0.05521961268,0.5956942264,0.3179664021,-1.367935288,4.911470833,-2.779795599,0,0
0.15,-63.56062273,-64.99939237,0.05551159045,0.5956337162,0.3180072852,-1.388478937,4.94800265,-2.752086819,0,0
0.16,-63.4686971,-64.99935359,0.05581711982,0.5955692437,0.3180508065,-1.410236156,4.984574845,-2.72450913,0,0
0.17,-63.3771954,-64.99931499,0.05613568173,0.5955008151,0.3180969569,-1.433198416,5.021194977,-2.697058619,0,0
0.18,-63.28610477,-64.99927658,0.05646678629,0.5954284358,0.3181457273,-1.45735943,5.057870526,-2.669731432,0,0
0.19,-63.19541257,-64.99923834,0.05680997121,0.5953521108,0.3181971091,-1.482714989,5.094608913,-2.642523771,0,0
0.2,-63.10510627,-64.99920028,0.05716480026,0.5952718447,0.318251094,-1.509262811,5.131417501,-2.615431882,0,0
0.21,-63.0151735,-64.99916239,0.05753086187,0.5951876416,0.3183076738,-1.537002407,5.168303613,-2.58845205,0,0
0.22,-62.92560199,-64.99912467,0.05790776778,0.595099505,0.3183668407,-1.565934967,5.205274536,-2.561580598,0,0
0.23,-62.83637958,-64.99908712,0.05829515185,0.595007438,0.3184285872,-1.596063249,5.242337533,-2.534813875,0,0
0.24,-62.74749419,-64.99904972,0.05869266884,0.5949114431,0.318492906,-1.627391492,5.279499847,-2.508148256,0,0
0.25,-62.65893379,-64.99901249,0.05909999338,0.5948115226,0.3185597902,-1.659925332,5.316768715,-2.481580136,0,0
0.26,-62.57068642,-64.99897541,0.05951681894,0.594707678,0.3186292331,-1.693671731,5.354151371,-2.455105926,0,0
0.27,-62.48274016,-64.99893849,0.05994285687,0.5945999104,0.3187012282,-1.728638915,5.391655057,-2.428722047,0,0
0.28,-62.3950831,-64.99890172,0.0603778355,0.5944882205,0.3187757694,-1.764836317,5.429287026,-2.402424929,0,0
0.29,-62.30770336,-64.9988651,0.06082149937,0.5943726083,0.318852851,-1.802274531,5.467054553,-2.376211007,0,0
0.3,-62.22058905,-64.99882862,0.06127360839,0.5942530734,0.3189324675,-1.840965273,5.504964941,-2.350076714,0,0
0.31,-62.13372828,-64.99879229,0.06173393711,0.594129615,0.3190146135,-1.880921343,5.543025526,-2.324018483,0,0
0.32,-62.04710913,-64.99875611,0.06220227411,0.5940022316,0.3190992843,-1.922156599,5.581243685,-2.29803274,0,0
0.33,-61.96071968,-64.99872007,0.06267842127,0.5938709212,0.3191864751,-1.964685931,5.619626841,-2.272115903,0,0
0.34,-61.87454793,-64.99868416,0.06316219324,0.5937356813,0.3192761818,-2.008525245,5.658182473,-2.246264378,0,0
0.35,-61.78858185,-64.99864839,0.06365341686,0.5935965088,0.3193684003,-2.053691447,5.696918119,-2.220474556,0,0
0.36,-61.70280938,-64.99861276,0.06415193062,0.5934534001,0.319463127,-2.100202431,5.735841384,-2.194742813,0,0
0.37,-61.61721834,-64.99857727,0.06465758421,0.593306351,0.3195603587,-2.148077077,5.774959945,-2.169065501,0,0
0.38,-61.53179651,-64.99854191,0.06517023802,0.5931553567,0.3196600922,-2.197335246,5.814281561,-2.143438953,0,0
0.39,-61.44653158,-64.99850668,0.06568976277,0.5930004118,0.319762325,-2.247997782,5.853814074,-2.117859475,0,0
0.4,-61.36141115,-64.99847158,0.06621603906,0.5928415104,0.3198670548,-2.300086515,5.89356542,-2.092323346,0,0
0.41,-61.27642271,-64.99843661,0.06674895703,0.5926786458,0.3199742796,-2.353624271,5.933543635,-2.066826812,0,0
0.42,-61.19155363,-64.99840177,0.06728841601,0.5925118108,0.3200839979,-2.40863488,5.973756859,-2.04136609,0,0
0.43,-61.10679119,-64.99836706,0.06783432419,0.5923409975,0.3201962085,-2.465143195,6.014213347,-2.015937358,0,0
0.44,-61.02212252,-64.99833247,0.06838659834,0.5921661975,0.3203109105,-2.523175101,6.054921473,-1.990536756,0,0
0.45,-60.93753462,-64.99829801,0.06894516353,0.5919874015,0.3204281035,-2.582757544,6.095889736,-1.965160385,0,0
0.46,-60.85301433,-64.99826368,0.06950995286,0.5918045996,0.3205477874,-2.643918546,6.137126771,-1.9398043,0,0
0.47,-60.76854837,-64.99822947,0.07008090723,0.5916177813,0.3206699626,-2.706687235,6.178641356,-1.914464512,0,0
0.48,-60.68412327,-64.99819538,0.07065797514,0.5914269351,0.3207946298,-2.771093871,6.220442414,-1.889136981,0,0
